"Pop / Idol , Ballad, Dance"
"Rap/ Hip Hop, R&B / Soul, Rock / Metal"
"Pop, Ballad, R&B / Soul"
"Pop, Rap/Hiphop, Indie"
"Idol, Ballad, Dance"
"Rap/ Hip Hop, R&B / Soul, Rock / Metal"
"Pop, Idol, Ballad"
"Pop, Ballad, Indie"
"Pop, Dance, Rock / Metal"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Ballad, Rap/Hiphop"
"Pop, Indie, Rock / Metal"
"Rap/Hiphop, R&B / Soul, Indie"
"Idol, Ballad, Dance"
"Rap/Hiphop, Indie, Rock / Metal"
"Ballad, Rap/Hiphop, R&B / Soul"
"Pop, Ballad"
"Pop, Rap/Hiphop, Rock / Metal"
"Ballad, Rap/Hiphop, R&B / Soul"
"Ballad, Rap/Hiphop, Indie"
"Pop, Ballad, Dance"
"Ballad, Rap/Hiphop, R&B / Soul"
"Pop, Ballad, Rap/Hiphop"
"Pop, R&B / Soul, Rock / Metal"
"Dance, Rap/Hiphop, Rock / Metal"
"Pop, Rap/Hiphop, Rock / Metal"
"Idol, Ballad, Indie"
"Rap/Hiphop, R&B / Soul, Indie"
"Idol, Ballad, Indie"
"Rap/Hiphop, R&B / Soul, Indie"
"Pop, Ballad, R&B / Soul"
"Idol, Dance, R&B / Soul"
"Pop, Idol, Dance"
"Pop, Idol, Rock / Metal"
"Pop, Ballad, Indie"
"Pop, R&B / Soul, Rock / Metal"
"Pop, Idol, Ballad"
"Pop, Idol, Dance"
"Pop, Idol, Ballad"
"Idol, Dance, Rap/Hiphop"
"Pop, R&B / Soul, Indie"
"Pop, Ballad, R&B / Soul"
"Idol, Ballad, Rap/Hiphop"
"Pop, Dance, R&B / Soul"
"Pop, Idol, Ballad"
"Pop, Ballad, Instrumental, orchestral, "
"Idol, Ballad, R&B / Soul"
"Pop, Dance, Kpop "
"Pop, Ballad, R&B / Soul"
"Idol, Ballad, Dance"
"Pop, Indie, TWICE"
"Pop, R&B / Soul, Rock / Metal"
"Pop, Idol, Dance"
"Pop, Ballad, Dance"
"Pop, Ballad, R&B / Soul"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Rap/Hiphop, R&B / Soul"
"Idol, Dance, Rock / Metal"
"Pop, Ballad, R&B / Soul"
"Pop, Dance, R&B / Soul"
"Pop, Rap/Hiphop, Indie"
"Idol, Ballad, Dance"
"Pop, Ballad, R&B / Soul"
"Pop, Idol, Trot"
"Pop, Ballad, R&B / Soul"
"Idol, Ballad, Dance"
"Idol, Ballad, Dance"
"Pop, Dance, R&B / Soul"
"Pop, Ballad, R&B / Soul"
"Pop, Dance, Rock / Metal"
"Pop, Ballad, Dance"
"Pop, Ballad, Dance"
"Pop, Ballad, Indie"
"Pop, Dance, R&B / Soul"
"Dance, Rap/Hiphop, Rock / Metal"
"Pop, Rap/Hiphop, Indie"
"Pop, Idol, R&B / Soul"
"Pop, Idol, Rap/Hiphop"
"Pop, Idol, Rap/Hiphop"
"Pop, Idol, Ballad"
"Pop, Idol, Ballad"
"Ballad, R&B / Soul, Chinese"
"Pop, Ballad, Dance"
"Pop, Ballad, Indie"
"Idol, Ballad, Dance"
"Pop, Ballad, R&B / Soul"
"Pop, Idol, Rock / Metal"
"Pop, Rap/Hiphop, Indie"
"Pop, Ballad, Rock / Metal"
"Pop, Ballad, Dance"
"Pop, Rock / Metal, EDM"
"Pop, Idol, Ballad"
"Pop, R&B / Soul, Rock / Metal"
"Idol, Ballad, Rap/Hiphop"
"Pop, Idol, Dance"
"Ballad, Dance, Rap/Hiphop"
"Pop, Rap/Hiphop, Rock / Metal"
"Pop, Ballad, Dance"
"Pop, Dance, Indie"
"Pop, Rap/Hiphop, R&B / Soul"
"Ballad, R&B / Soul, Indie"
"Idol, Ballad, Dance"
"Dance, Rap/Hiphop, R&B / Soul"
"Pop, Indie, Rock / Metal"
"Pop, Ballad, Indie"
"Ballad, R&B / Soul, Indie"
"Idol, Ballad, R&B / Soul"
"Pop, Dance, Indie"
"Pop, Rap/Hiphop, R&B / Soul"
"Idol, Ballad, Indie"
"Pop, Idol, Dance"
"Pop, Ballad, R&B / Soul"
"Ballad, R&B / Soul, Indie"
"Idol, Dance, R&B / Soul"
"Pop, Idol, Dance"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Idol, Dance"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Dance, Rock / Metal"
"Pop, Idol, Ballad"
"Pop, Rock / Metal"
"Pop, Rap/Hiphop, Rock / Metal"
"Pop, Ballad, Rap/Hiphop"
"Pop, Rap/Hiphop, Rock / Metal"
"Pop, Ballad, R&B / Soul"
"Pop, Ballad, Indie"
"Pop, Idol, Rock / Metal"
"Ballad, Dance, R&B / Soul"
"Pop, Idol, Dance"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Idol, Rap/Hiphop"
"Pop, Idol, Ballad"
"Pop, Ballad, Indie"
"Ballad, Rap/Hiphop, R&B / Soul"
"Idol, Ballad, Indie"
"Pop, Dance, Rap/Hiphop"
"Pop, Idol, Rock / Metal"
"Pop, Idol, R&B / Soul"
"Rap/Hiphop, R&B / Soul, Indie"
"Pop, Idol, Indie"
"Pop, Idol, Dance"
"Pop, Idol, Rock / Metal"
"Pop, Rap/Hiphop, Indie"
"Dance, Rap/Hiphop, Indie"
"Pop, Rap/Hiphop, R&B / Soul"
"Pop, Ballad, R&B / Soul"
"Pop, Idol, Dance"
"Pop, Idol, Indie"
"Pop, R&B / Soul, Indie"
"Pop, Ballad, Rap/Hiphop"
"Pop, Idol, Indie"
"Pop, Indie, alternative"
"Pop, Dance, Rock / Metal"
"Idol, Rap/Hiphop, R&B / Soul"
"Pop, Dance, Indie"
"Pop, R&B / Soul, Indie"
"Pop, Indie, alternative"
"Pop, Indie, Lofi "
"Idol, R&B / Soul, Indie"
"Pop, Rap/Hiphop, EDM"
"Pop, Ballad, R&B / Soul"
"Pop, R&B / Soul, Indie"
"Pop, Idol, R&B / Soul"
"Pop, Rap/Hiphop, R&B / Soul"
"Idol, Dance, Indie"
